feature_name,feature_group,description,use_as_model_input,leakage_safe_explanation
ratio_lag_1h_to_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
ratio_lag_1h_to_rolling_max_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
ratio_lag_1h_to_rolling_mean_24h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
ratio_lag_24h_to_168h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
ratio_rolling_mean_24h_to_168h,ratio,Safe ratio using lagged or shifted rolling features.,True,Known in advance or computed only from past/site training data.
recent_peak_168h_count,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
recent_peak_168h_flag,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
recent_peak_24h_count,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
recent_peak_24h_flag,peak_memory,Recent peak memory based on train-only peak thresholds and past loads.,True,Known in advance or computed only from past/site training data.
rolling_max_168h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_max_24h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_max_336h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_mean_12h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_168h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_168h_normalized_by_train_mean,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_24h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_24h_normalized_by_train_mean,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_24h_x_business_hour,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
rolling_mean_336h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_3h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_48h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_6h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_mean_72h,rolling_mean,Shifted rolling mean using only previous load values.,True,Known in advance or computed only from past/site training data.
rolling_min_168h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_min_24h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_min_336h,rolling_min_max,Shifted rolling minimum or maximum summary.,True,Known in advance or computed only from past/site training data.
rolling_q75_168h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_q75_24h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_q90_168h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_q90_24h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_q95_168h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_q95_24h,rolling_quantile,Shifted rolling upper quantile for recent high-load behavior.,True,Known in advance or computed only from past/site training data.
rolling_range_168h,rolling_volatility,Shifted rolling spread or volatility summary.,True,Known in advance or computed only from past/site training data.
rolling_range_24h,rolling_volatility,Shifted rolling spread or volatility summary.,True,Known in advance or computed only from past/site training data.
rolling_std_168h,rolling_volatility,Shifted rolling spread or volatility summary.,True,Known in advance or computed only from past/site training data.
rolling_std_24h,rolling_volatility,Shifted rolling spread or volatility summary.,True,Known in advance or computed only from past/site training data.
rolling_std_6h,rolling_volatility,Shifted rolling spread or volatility summary.,True,Known in advance or computed only from past/site training data.
same_hour_2days_ago,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_2weeks_ago,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_3days_ago,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_last_week,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_last_week_x_business_hour,interaction,Interaction among known calendar/operation variables and past-load features.,True,Known in advance or computed only from past/site training data.
same_hour_yesterday,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_yesterday_minus_last_week,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
same_hour_yesterday_ratio_last_week,same_hour_history,Same-hour daily or weekly historical load relationship.,True,Known in advance or computed only from past/site training data.
site_id_encoded,site_identity,Deterministic encoded site identifier.,True,Known in advance or computed only from past/site training data.
was_missing_hour,missing_indicator,Past or current missing-hour indicator from the standardized hourly data.,True,Known in advance or computed only from past/site training data.
week_of_year,calendar,Known-in-advance calendar feature.,True,Known in advance or computed only from past/site training data.
is_peak_hour,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
is_high_peak_hour,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
peak_threshold_90_train_kw,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
peak_threshold_95_train_kw,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
peak_sample_weight,label_or_weight,"Target-derived label, threshold, or sample weight; not a predictor.",False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
target_load_kw_normalized_by_train_mean,normalized_by_site,Train-only site-normalized load history feature.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
train_mean_load_kw,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
train_std_load_kw,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
train_max_load_kw,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
source_file,metadata,Tracking or provenance column; not used as a model input.,False,"Excluded from model inputs because it is target, provenance, split, threshold, label, or weight metadata."
